"KB_ID","System","Category","Issue_Title","User_Utterance_Variants","Keywords","Required_Information","Approved_Answer","Followup_Question","Action_Type","Severity","Escalation_Rule","Owner","Confidence_Level","Review_Status","Is_Active","Last_Reviewed","Agent_Guardrail","Source_Row"
"KB-021","DSS","Master Data & Underwriting","ขอเพิ่มเบี้ยซ่อมห้าง","ขอเพิ่มเบี้ยซ่อมห้าง | ขอเพิ่มเบี้ยซ่อมห้าง | ขอเพิ่มเบี้ยซ่อมห้าง","DSS, Master Data & Underwriting, ขอเพิ่มเบี้ยซ่อมห้าง, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มเบี้ยซ่อมห้าง” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","21"
"KB-022","DSS","Master Data & Underwriting","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1 | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1 | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","22"
"KB-023","DSS","Master Data & Underwriting","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","23"
"KB-024","DSS","Payment & Credit","ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้าระบบ Polisy400 แล้ว","ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้าระบบ Polisy400 แล้ว | ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้าระบบ Polisy400 แล้ว | ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้าระบบ Polisy400 แล้ว","DSS, Payment & Credit, ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้า Polisy400 แล้ว, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้าระบบ Polisy400 แล้ว” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","24"
"KB-025","DSS","System Incident","บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก","บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก | บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก | บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก","DSS, System Incident, บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","25"
"KB-026","DSS","Master Data & Underwriting","ขอเพิ่มสีรถยนต์ในระบบ DSS","ขอเพิ่มสีรถยนต์ในระบบ DSS | ขอเพิ่มสีรถยนต์ในระบบ DSS | ขอเพิ่มสีรถยนต์ในDSS","DSS, Master Data & Underwriting, ขอเพิ่มสีรถยนต์ DSS, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มสีรถยนต์ในระบบ DSS” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","26"
"KB-027","DSS","Master Data & Underwriting","ขอเพิ่มรุ่นรถจักรยานยนต์","ขอเพิ่มรุ่นรถจักรยานยนต์ | ขอเพิ่มรุ่นรถจักรยานยนต์ | ขอเพิ่มรุ่นรถจักรยานยนต์","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นรถจักรยานยนต์, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นรถจักรยานยนต์” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","27"
"KB-028","DSS","Renewal","ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น","ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น | ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น | ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น","DSS, Renewal, ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","28"
"KB-029","CMI","General Support","ไม่สามารถต่อภาษีผ่านระบบออนไลน์ได้","ไม่สามารถต่อภาษีผ่านระบบออนไลน์ได้ | ทำไม่ได้ต่อภาษีผ่านระบบออนไลน์ได้ | ไม่สามารถต่อภาษีผ่านระบบออนไลน์ได้","CMI, General Support, ไม่สามารถต่อภาษีผ่านออนไลน์ได้, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถต่อภาษีผ่านระบบออนไลน์ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","29"
"KB-030","DSS","Payment & Credit","พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล","พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล | พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล | พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล","DSS, Payment & Credit, พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","30"
"KB-031","DSS","Policy Issue & Integration","ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์","ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์ | ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์ | ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์","DSS, Policy Issue & Integration, ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","31"
"KB-032","DSS","Master Data & Underwriting","ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์","ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์ | ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์ | ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์","DSS, Master Data & Underwriting, ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Business Support","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","32"
"KB-033","DSS","Payment & Credit","ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว","ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว | ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว | ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว","DSS, Payment & Credit, ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","33"
"KB-034","DSS","Master Data & Underwriting","ขอเพิ่มผู้รับผลประโยชน์","ขอเพิ่มผู้รับผลประโยชน์ | ขอเพิ่มผู้รับผลประโยชน์ | ขอเพิ่มผู้รับผลประโยชน์","DSS, Master Data & Underwriting, ขอเพิ่มผู้รับผลประโยชน์, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มผู้รับผลประโยชน์” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","34"
"KB-035","DSS","Payment & Credit","ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน","ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน | ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน | ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน","DSS, Payment & Credit, ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","35"
"KB-036","DSS","Payment & Credit","ไม่สามารถ Issue งานได้ เนื่องจากสถานะรอชำระเงิน","ไม่สามารถ Issue งานได้ เนื่องจากสถานะรอชำระเงิน | ทำไม่ได้ Issue งานได้ เนื่องจากสถานะรอชำระเงิน | ไม่สามารถ Issue งานได้ เนื่องจากสถานะรอชำระเงิน","DSS, Payment & Credit, ไม่สามารถ Issue งานได้ เนื่องจากสถานะรอชำระเงิน, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถ Issue งานได้ เนื่องจากสถานะรอชำระเงิน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","36"
"KB-037","DSS","Master Data & Underwriting","กรมธรรม์ Switch to New แล้วเบี้ยรวมไม่ขึ้น","กรมธรรม์ Switch to New แล้วเบี้ยรวมไม่ขึ้น | กรมธรรม์ Switch to New แล้วเบี้ยรวมไม่ขึ้น | กรมธรรม์ Switch to New แล้วเบี้ยรวมไม่ขึ้น","DSS, Master Data & Underwriting, กรมธรรม์ Switch to New แล้วเบี้ยรวมไม่ขึ้น, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รับทราบปัญหาครับ รายการนี้ยังต้องตรวจสอบคำตอบและเส้นทางส่งต่อกับเจ้าของข้อมูลก่อน เพื่อป้องกันการให้ข้อมูลผิด กรุณาส่งข้อมูลที่ระบุ แล้วระบบจะเปิดเคสให้ทีมที่เกี่ยวข้องตรวจสอบ","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Low","Review Required","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","37"
"KB-038","DSS","Payment & Credit","ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น","ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น | ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น | ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น","DSS, Payment & Credit, ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","P2 High","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","38"
