"KB_ID","Title","Issue_Title","System","Category","Keywords","Approved_Answer","Required_Information","Followup_Question","Action_Type","Escalation_Rule","Owner","Review_Status","Is_Active"
"KB-029","KB-029","ไม่สามารถต่อภาษีผ่านระบบออนไลน์ได้","CMI","General Support","CMI, General Support, ไม่สามารถต่อภาษีผ่านออนไลน์ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถต่อภาษีผ่านระบบออนไลน์ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-030","KB-030","พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล","DSS","Payment & Credit","DSS, Payment & Credit, พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “พิมพ์กรมธรรม์ไม่ได้ และตัดวงเงินเครดิตขึ้นว่าไม่พบข้อมูล” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-031","KB-031","ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุและ Issue แล้ว แต่ไม่พบไฟล์กรมธรรม์” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-032","KB-032","ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุประกันอัคคีภัยแล้วหน้าตารางไม่พบผู้รับผลประโยชน์” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Business Support","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-033","KB-033","ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว","DSS","Payment & Credit","DSS, Payment & Credit, ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินไม่ได้ เพราะไม่มีข้อมูลใน DSS แต่มีข้อมูลใน Polisy400 แล้ว” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-034","KB-034","ขอเพิ่มผู้รับผลประโยชน์","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มผู้รับผลประโยชน์, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มผู้รับผลประโยชน์” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-035","KB-035","ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน","DSS","Payment & Credit","DSS, Payment & Credit, ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินไม่ผ่าน และสถานะค้างที่รอชำระวงเงิน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-036","KB-036","ไม่สามารถ Issue งานได้ เนื่องจากสถานะรอชำระเงิน","DSS","Payment & Credit","DSS, Payment & Credit, ไม่สามารถ Issue งานได้ เนื่องจากสถานะรอชำระเงิน, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถ Issue งานได้ เนื่องจากสถานะรอชำระเงิน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-037","KB-037","กรมธรรม์ Switch to New แล้วเบี้ยรวมไม่ขึ้น","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, กรมธรรม์ Switch to New แล้วเบี้ยรวมไม่ขึ้น, ฝ่ายรับประกันภัยรถยนต์","รับทราบปัญหาครับ รายการนี้ยังต้องตรวจสอบคำตอบและเส้นทางส่งต่อกับเจ้าของข้อมูลก่อน เพื่อป้องกันการให้ข้อมูลผิด กรุณาส่งข้อมูลที่ระบุ แล้วระบบจะเปิดเคสให้ทีมที่เกี่ยวข้องตรวจสอบ","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-038","KB-038","ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น","DSS","Payment & Credit","DSS, Payment & Credit, ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินหรือต่ออายุแล้วข้อมูลจังหวัดไม่ขึ้น” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-039","KB-039","ระบบสอบถามกรมธรรม์รถยนต์ค้นหาเลขกรมธรรม์ไม่พบ","MotorQuery","Policy Issue & Integration","MotorQuery, Policy Issue & Integration, สอบถามกรมธรรม์รถยนต์ค้นหาเลขกรมธรรม์ไม่พบ, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบสอบถามกรมธรรม์รถยนต์ค้นหาเลขกรมธรรม์ไม่พบ” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-040","KB-040","การชำระแบบโอนเงิน","Payment","Payment & Credit","Payment, Payment & Credit, การชำระแบบโอนเงิน, ฝ่ายบัญชี","รายการนี้ต้องให้ฝ่ายบัญชีตรวจสอบ กรุณาส่งรายละเอียดการชำระเงินและเลขอ้างอิงที่เกี่ยวข้องกับ “การชำระแบบโอนเงิน” โดย Agent จะไม่ยืนยันผลทางการเงินเอง","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Incident","เปิดเคสและส่งต่อ ฝ่ายบัญชี","ฝ่ายบัญชี","Approved","Active"
"KB-041","KB-041","ชำระเงินสำเร็จ แต่สถานะยังเป็นรอชำระเงิน","DSS","Payment & Credit","DSS, Payment & Credit, ชำระเงินสำเร็จ แต่สถานะยังเป็นรอชำระเงิน, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ชำระเงินสำเร็จ แต่สถานะยังเป็นรอชำระเงิน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-042","KB-042","งาน PA ไม่หักค่าคอม ทำให้บัญชีตัดรับเงินอัตโนมัติไม่ได้","DSS","Payment & Credit","DSS, Payment & Credit, งาน PA ไม่หักค่าคอม ทำให้บัญชีตัดรับเงินอัตโนมัติไม่ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “งาน PA ไม่หักค่าคอม ทำให้บัญชีตัดรับเงินอัตโนมัติไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-043","KB-043","ยอดเงินที่ชำระไม่ตรงกับยอดเงินในระบบ","Payment","Payment & Credit","Payment, Payment & Credit, ยอดเงินที่ชำระไม่ตรงกับยอดเงิน, ฝ่ายบัญชี","รายการนี้ต้องให้ฝ่ายบัญชีตรวจสอบ กรุณาส่งรายละเอียดการชำระเงินและเลขอ้างอิงที่เกี่ยวข้องกับ “ยอดเงินที่ชำระไม่ตรงกับยอดเงินในระบบ” โดย Agent จะไม่ยืนยันผลทางการเงินเอง","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Incident","เปิดเคสและส่งต่อ ฝ่ายบัญชี","ฝ่ายบัญชี","Approved","Active"
"KB-044","KB-044","รุ่นรถไม่ขึ้นในระบบ DSS","DSS","General Support","DSS, General Support, รุ่นรถไม่ขึ้น DSS, ฝ่ายรับประกันภัยรถยนต์","รับทราบปัญหาครับ รายการนี้ยังต้องตรวจสอบคำตอบและเส้นทางส่งต่อกับเจ้าของข้อมูลก่อน เพื่อป้องกันการให้ข้อมูลผิด กรุณาส่งข้อมูลที่ระบุ แล้วระบบจะเปิดเคสให้ทีมที่เกี่ยวข้องตรวจสอบ","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Incident","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-045","KB-045","Batch งานในระบบ DSS ไม่ขึ้น","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, Batch งาน DSS ไม่ขึ้น, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “Batch งานในระบบ DSS ไม่ขึ้น” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-046","KB-046","ระบบ DSS แสดงรายการขายไม่ครบ","DSS","System Incident","DSS, System Incident, DSS แสดงรายการขายไม่ครบ, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบ DSS แสดงรายการขายไม่ครบ” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-047","KB-047","อัปโหลดรูปหน้าตาราง พ.ร.บ. ที่ยกเลิกไม่ได้","DSS","General Support","DSS, General Support, อัปโหลดรูปหน้าตาราง พ.ร.บ. ที่ยกเลิกไม่ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “อัปโหลดรูปหน้าตาราง พ.ร.บ. ที่ยกเลิกไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-048","KB-048","ไม่พบข้อมูลสัญชาติในระบบ DSS","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ไม่พบข้อมูลสัญชาติ DSS, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่พบข้อมูลสัญชาติในระบบ DSS” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Business Support","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-049","KB-049","ชำระเงินผ่าน 2C2P แต่สถานะยังรอชำระเงิน","Payment","Payment & Credit","Payment, Payment & Credit, ชำระเงินผ่าน 2C2P แต่สถานะยังรอชำระเงิน, ฝ่ายบัญชี","รายการนี้ต้องให้ฝ่ายบัญชีตรวจสอบ กรุณาส่งรายละเอียดการชำระเงินและเลขอ้างอิงที่เกี่ยวข้องกับ “ชำระเงินผ่าน 2C2P แต่สถานะยังรอชำระเงิน” โดย Agent จะไม่ยืนยันผลทางการเงินเอง","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Incident","เปิดเคสและส่งต่อ ฝ่ายบัญชี","ฝ่ายบัญชี","Approved","Active"
"KB-050","KB-050","ระบบมีการหย่อนข้อมูลซ้ำซ้อน","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, มีการหย่อนข้อมูลซ้ำซ้อน, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบมีการหย่อนข้อมูลซ้ำซ้อน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-051","KB-051","ข้อมูล พ.ร.บ. ใน DSS ไม่เป็นข้อมูลปัจจุบัน","DSS","General Support","DSS, General Support, ข้อมูล พ.ร.บ. ใน DSS ไม่เป็นข้อมูลปัจจุบัน, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ข้อมูล พ.ร.บ. ใน DSS ไม่เป็นข้อมูลปัจจุบัน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-052","KB-052","พิมพ์งานในระบบ DSS ไม่ได้","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, พิมพ์งาน DSS ไม่ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “พิมพ์งานในระบบ DSS ไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-053","KB-053","ไม่สามารถชำระเงินได้ เนื่องจาก Batch รวมกัน","DSS","Payment & Credit","DSS, Payment & Credit, ไม่สามารถชำระเงินได้ เนื่องจาก Batch รวมกัน, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถชำระเงินได้ เนื่องจาก Batch รวมกัน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-054","KB-054","ไม่สามารถบันทึกงานในระบบ DSS ได้","DSS","System Incident","DSS, System Incident, ไม่สามารถบันทึกงาน DSS ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถบันทึกงานในระบบ DSS ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-055","KB-055","กรมธรรม์ไม่หย่อนเข้าระบบ DSS","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, กรมธรรม์ไม่หย่อนเข้า DSS, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “กรมธรรม์ไม่หย่อนเข้าระบบ DSS” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
